"ky(2π/a)","Frequency(GHz)","Abs[R]","Arg[R]"
-0.235,9.18,0.9999881709495739,-0.9248088990040181
-0.235,9.200000000000001,1.0000033070261232,-0.8665337198100502
-0.235,9.22,1.000019697954952,-0.819414107669493
-0.235,9.24,1.000037007164985,-0.7792904070916621
-0.235,9.26,1.0000549914108137,-0.7439606962547555
-0.235,9.280000000000001,1.00007344914052,-0.7121111141808745
-0.235,9.3,1.0000922003456223,-0.6828927108993432
-0.235,9.32,1.0001110774036472,-0.6557246626307857
-0.235,9.34,1.0001299206389782,-0.6301920383613459
-0.235,9.360000000000001,1.0001485761893725,-0.6059881909288183
-0.235,9.38,1.0001668951014924,-0.5828802022353556
-0.235,9.4,1.0001847331225284,-0.560687102312454
-0.235,9.42,1.0002019509023747,-0.5392655734631441
-0.235,9.440000000000001,1.0002184144432293,-0.5185002461782122
-0.235,9.46,1.0002339956968969,-0.498296921871678
-0.235,9.48,1.0002485732459845,-0.4785777228080423
-0.235,9.5,1.0002620330255023,-0.45927754696440914
-0.235,9.520000000000001,1.0002742690543083,-0.4403414282147831
-0.235,9.540000000000001,1.0002851841531721,-0.4217225381324179
-0.235,9.56,1.0002946906319161,-0.4033806511809113
-0.235,9.58,1.0003027109316742,-0.385280950249906
-0.235,9.600000000000001,1.0003091782104871,-0.36739308596331244
-0.235,9.620000000000001,1.0003140368630752,-0.3496904278035586
-0.235,9.64,1.0003172429667286,-0.332149462021412
-0.235,9.66,1.0003187646468388,-0.31474930314357796
-0.235,9.68,1.0003185823567164,-0.29747129430243213
-0.235,9.700000000000001,1.0003166890675748,-0.28029867767481415
-0.235,9.72,1.000313090365234,-0.2632163207428642
-0.235,9.74,1.0003078044515075,-0.24621048735934317
-0.235,9.76,1.0003008620487512,-0.2292686450432453
-0.235,9.780000000000001,1.0002923062073528,-0.21237930177390846
-0.235,9.8,1.0002821920164493,-0.19553186695762373
-0.235,9.82,1.0002705862194965,-0.17871653231890897
-0.235,9.84,1.000257566736488,-0.16192416930566053
-0.235,9.860000000000001,1.0002432220960935,-0.1451462402507678
-0.235,9.88,1.0002276507816068,-0.12837472104493955
-0.235,9.9,1.0002109604947826,-0.11160203348288143
-0.235,9.92,1.0001932673432634,-0.09482098576733931
-0.235,9.940000000000001,1.0001746949572075,-0.07802471991453562
-0.235,9.96,1.0001553735417752,-0.06120666501199032
-0.235,9.98,1.0001354388724177,-0.04436049544688682
-0.235,10.,1.0001150312406972,-0.02748009335893307
-0.235,10.020000000000001,1.000094294358542,-0.010559514680694089
-0.235,10.040000000000001,1.0000733742294277,0.006407041783415057
-0.235,10.06,1.0000524179951615,0.023425262717247652
-0.235,10.08,1.000031572767366,0.04050074651299265
-0.235,10.100000000000001,1.0000109844526521,0.05763902772899065
