"Frequency(GHz)","y(m)","Re(Ez)","Im(Ez)"
2.08,0.23200000000000004,0.00047298831971214904,0.00046773043413581483
2.08,0.24,0.0006390144147206789,0.00034447849305898346
2.12,-0.24,-0.0005541558638216378,0.0008020418300114368
2.12,-0.23199999999999998,-0.0005160442575372028,0.0007197282195606042
2.12,-0.22399999999999998,-0.0004789049753112406,0.0006734751695074881
2.12,-0.216,-0.00041868812269064916,0.0005788329749710013
2.12,-0.208,-0.0003522706960429121,0.0004796296549687501
2.12,-0.19999999999999998,-0.00026590546812024096,0.00039002419908610225
2.12,-0.192,-0.00022970002863840867,0.0003910987074122264
2.12,-0.184,-0.0002062114037425742,0.00036698081362316075
2.12,-0.176,-0.0001917795371505868,0.00034841734837878937
2.12,-0.16799999999999998,-0.0002942940137157293,0.0003157992385236008
2.12,-0.15999999999999998,-0.0003823080354296703,0.0002903745382190146
2.12,-0.152,-0.0004113804517868916,0.00021014995238784372
2.12,-0.144,-0.0005331316435326936,-2.3898604831671875e-6
2.12,-0.13599999999999998,-0.0006050048796728794,-0.00019976237566920522
2.12,-0.128,-0.0006267488917927781,-0.00043973045552989
2.12,-0.12,-0.0006505228015311702,-0.0006786312760137406
2.12,-0.11199999999999999,-0.0006089085248068729,-0.0009040271065170102
2.12,-0.10399999999999998,-0.0005868133205041817,-0.0011640769868350015
2.12,-0.09599999999999997,-0.00047020655170758774,-0.001253148423105284
2.12,-0.088,-0.00035603151665456053,-0.001323726539753832
2.12,-0.07999999999999999,-0.00022124744267093947,-0.0012880158785945031
2.12,-0.07199999999999998,-0.000047608807308131934,-0.0011859147517282586
2.12,-0.064,0.00010865600586000566,-0.0009945823859241378
2.12,-0.055999999999999994,0.0002515734161895421,-0.0007839157012732449
2.12,-0.04799999999999999,0.0004052587476550113,-0.0005127856833981344
2.12,-0.03999999999999998,0.000504914271396041,-0.00023412613388002005
2.12,-0.03199999999999997,0.0004474927871069956,-0.000011122843530910747
2.12,-0.023999999999999994,0.00030160556237380636,0.0001813119660314234
2.12,-0.015999999999999986,-0.00009566388989878064,0.00028922360575415345
2.12,-0.00799999999999998,-0.0008176186974550103,0.0003616332094097173
2.12,0.,-0.0016944147251679957,0.0003455969171359395
2.12,0.008000000000000007,-0.0016641402558575655,0.000822036750294241
2.12,0.016000000000000014,-0.0009554860322382517,0.0011081519219843473
2.12,0.02400000000000002,-0.000124907774639114,0.000957991261878053
2.12,0.03200000000000003,0.0004102071620068584,0.0006195386374773401
2.12,0.040000000000000036,0.000722184933627155,0.000305357026095588
2.12,0.04800000000000004,0.0008715166951661666,5.9491525146861645e-6
2.12,0.055999999999999994,0.0008790637172631585,-0.00023613206488632088
2.12,0.064,0.0008089991076616931,-0.0004954785640031105
2.12,0.07200000000000001,0.0006696965931969317,-0.0007732084719921421
2.12,0.08000000000000002,0.0004594885137213936,-0.0009704022474510787
2.12,0.08800000000000002,0.000195699564283482,-0.0011285781572134273
2.12,0.09600000000000003,-0.0001125830851399853,-0.0011979614127927338
2.12,0.10400000000000004,-0.00039279820043258495,-0.0011298160895636612
2.12,0.11199999999999999,-0.0005677524391415949,-0.0009692342989436402
2.12,0.12,-0.0007764348177902147,-0.0007557256272769081
2.12,0.128,-0.0009045129110153043,-0.0005579181852266692
2.12,0.136,-0.0009208258969897214,-0.0002950599372484762
2.12,0.14400000000000002,-0.0008952339787582527,-0.00011901933287356405
2.12,0.15200000000000002,-0.0008015215044751397,0.00005952800437532245
2.12,0.16000000000000003,-0.0007712707876554557,0.00019704675091290598
2.12,0.16800000000000004,-0.0007129171039244494,0.00020703599825386854
2.12,0.17600000000000005,-0.0007295686923880475,0.0002360139011227824
2.12,0.184,-0.0006482813448443565,0.0002539182410773052
2.12,0.192,-0.0005736794998100016,0.0002745638131687176
2.12,0.2,-0.0004940251120709323,0.0003128502191981056
2.12,0.20800000000000002,-0.00040283235928272824,0.00035449805348366993
2.12,0.21600000000000003,-0.0003048455608445505,0.00044779458633883843
2.12,0.22400000000000003,-0.00019568643156736521,0.00056313049175518
2.12,0.23200000000000004,-0.0001400216318308698,0.0005857753254477526
2.12,0.24,0.00003317382744729129,0.0006111663321293944
2.16,-0.24,-0.0008935924718721698,0.0004048584852196942
2.16,-0.23199999999999998,-0.0008767138566132435,0.00041003617482648176
2.16,-0.22399999999999998,-0.0007832258414430116,0.00045455244854679475
2.16,-0.216,-0.000715086492162562,0.00043095360234675167
2.16,-0.208,-0.0006596052883088349,0.000402741832388962
2.16,-0.19999999999999998,-0.0006743651081666794,0.0002982236901779314
2.16,-0.192,-0.0007127931887501184,0.00023085480306122752
2.16,-0.184,-0.0007589092562290406,0.0001966558960084456
2.16,-0.176,-0.0008504945398214113,0.00008830975157345793
2.16,-0.16799999999999998,-0.0008530527815208102,-0.000010051690584610571
2.16,-0.15999999999999998,-0.0009203097092660924,-0.00021307118397277626
2.16,-0.152,-0.0008036012848285424,-0.00047016670710070047
2.16,-0.144,-0.0008311040084659616,-0.0006859997446149751
2.16,-0.13599999999999998,-0.0006781178184590193,-0.0008879336303397797
2.16,-0.128,-0.0004285244641002828,-0.0011325822121451342
2.16,-0.12,-0.0001477693327012403,-0.001267012069521451
2.16,-0.11199999999999999,0.0001553563125712683,-0.001343004191260868
2.16,-0.10399999999999998,0.0004019084444228767,-0.0013331553017940495
2.16,-0.09599999999999997,0.0006455304573941021,-0.0012678417200015786
2.16,-0.088,0.000801857471546987,-0.0010461163805830938
2.16,-0.07999999999999999,0.0008738699700896194,-0.0008048246987857465
2.16,-0.07199999999999998,0.00093299334188531,-0.0005266877216127987
2.16,-0.064,0.0008610165883575333,-0.0002858010376016052
2.16,-0.055999999999999994,0.0007423631119158558,-0.00002987499560847954
2.16,-0.04799999999999999,0.0006173777324421908,0.0001275749690399288
2.16,-0.03999999999999998,0.00044044471680280576,0.00033864407593297153
2.16,-0.03199999999999997,0.0002539076833257638,0.00036106317169180195
2.16,-0.023999999999999994,0.000025561896766928044,0.00020923435074976794
2.16,-0.015999999999999986,-0.00025746451584495003,-0.00013976643053940205
2.16,-0.00799999999999998,-0.0005499324470658683,-0.0008815300923191141
2.16,0.,-0.0009162972017679586,-0.0017548821977649122
2.16,0.008000000000000007,-0.0012706110644352614,-0.00168191322339611
2.16,0.016000000000000014,-0.0013453890809194287,-0.0008796359621131771
2.16,0.02400000000000002,-0.000989715624608552,-0.000025958920272307304
2.16,0.03200000000000003,-0.000641692563466801,0.00044012050295391333
2.16,0.040000000000000036,-0.0003453527871616559,0.0006157256155339617
2.16,0.04800000000000004,-0.000024438333725638025,0.0006572838386030151
2.16,0.055999999999999994,0.0002939577817549195,0.0006214574186714059
2.16,0.064,0.0005867903228794612,0.00045433054365628744
2.16,0.07200000000000001,0.0008292849078997194,0.00021211253110967762
2.16,0.08000000000000002,0.0009946387610172093,-0.00014352051658961707
2.16,0.08800000000000002,0.0010298233658080954,-0.00045455395459250553
2.16,0.09600000000000003,0.0009590499626773292,-0.0007131666646644484
2.16,0.10400000000000004,0.000749761762136151,-0.0009072831752757755
2.16,0.11199999999999999,0.000507418846660269,-0.0010153485709124537
2.16,0.12,0.00022121217517019867,-0.0009542408184900021
2.16,0.128,-0.00007904797254072896,-0.0008954035174340115
2.16,0.136,-0.00032931957804011275,-0.0006827477220470838
2.16,0.14400000000000002,-0.0005210614149299936,-0.00046416500289460973
2.16,0.15200000000000002,-0.0006127992989775825,-0.0002335692487926941
2.16,0.16000000000000003,-0.0006260789008594945,-0.00008630880545209252
2.16,0.16800000000000004,-0.0005776239258475731,7.903921332940244e-6
2.16,0.17600000000000005,-0.00045975533386458453,0.0000605620633075227
2.16,0.184,-0.0003321239536046455,0.00010124155464047022
2.16,0.192,-0.0002418182444385404,0.0001316768988154806
2.16,0.2,-0.0001242663592619719,0.00016112974982843652
2.16,0.20800000000000002,-0.0000670282640176856,0.00019034934583227607
2.16,0.21600000000000003,-0.000058344288378798145,0.0002580074272139692
2.16,0.22400000000000003,-0.00007641714573864032,0.0003040077730291767
2.16,0.23200000000000004,-0.00010991312436365039,0.0003387106297366835
2.16,0.24,-0.00016346282517785705,0.0003318087360647295
2.2,-0.24,-0.0006876893848150996,0.00014268555255746775
2.2,-0.23199999999999998,-0.0007231682717577647,0.0003205929549255375
2.2,-0.22399999999999998,-0.0007425471106968823,0.000515058080845949
2.2,-0.216,-0.000694549249616137,0.000671601887027323
2.2,-0.208,-0.0007799579626621062,0.0007239048510543194
2.2,-0.19999999999999998,-0.0008950974892810231,0.0006500858960805168
2.2,-0.192,-0.0010148489040160437,0.0004979267801770004
2.2,-0.184,-0.0010920857995600707,0.0003023996011889578
2.2,-0.176,-0.0011567260848979464,0.000043400646500592974
2.2,-0.16799999999999998,-0.0011276023259314822,-0.000199186842321252
2.2,-0.15999999999999998,-0.001044966813686011,-0.0004355396288455345
2.2,-0.152,-0.0008774498769691689,-0.0007337458889198566
2.2,-0.144,-0.0005912588791153264,-0.0009159534824254384
2.2,-0.13599999999999998,-0.00017677432106428674,-0.0010150520914279527
2.2,-0.128,0.0002169210752613302,-0.0010996896023458022
2.2,-0.12,0.0006127741945048285,-0.0010751229169955212
2.2,-0.11199999999999999,0.0009940007533087102,-0.0009617318297850583
2.2,-0.10399999999999998,0.001234607382366711,-0.0007014289799442406
2.2,-0.09599999999999997,0.0013588050937733262,-0.00047331212908149943
2.2,-0.088,0.0013671106851834134,-0.00018236277815754438
2.2,-0.07999999999999999,0.0012590316072840573,0.00007611031966641121
2.2,-0.07199999999999998,0.0010754766723115056,0.0002862531287405788
2.2,-0.064,0.0008392417527851458,0.000429060175245986
